Domain,date
"William Morris Endeavor Entertainment, LLC",2026-05-07
Not assigned,2026-05-07
Woodside Petroleum Limited,2026-05-07
"Registry Services, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
Government of Samoa Ministry of Foreign Affairs & Trade,2026-05-07
"World Trade Centers Association, Inc.",2026-05-07
"Binky Moon, LLC",2026-05-07
Microsoft Corporation,2026-05-07
Xerox DNHC LLC,2026-05-07
Not assigned,2026-05-07
"Beijing Qihu Keji Co., Ltd.",2026-05-07
Elegant Leader Limited,2026-05-07
Not assigned,2026-05-07
VeriSign Sarl,2026-05-07
Not assigned,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
"Guangzhou YU Wei Information Technology Co., Ltd.",2026-05-07
National Internet eXchange of India,2026-05-07
Excellent First Limited,2026-05-07
Eagle Horizon Limited,2026-05-07
Beijing TLD Registry Technology Limited,2026-05-07
KISA (Korea Internet & Security Agency),2026-05-07
National Internet eXchange of India,2026-05-07
Not assigned,2026-05-07
VeriSign Sarl,2026-05-07
VeriSign Sarl,2026-05-07
National Internet eXchange of India,2026-05-07
National Internet Exchange of India,2026-05-07
Zodiac Gemini Ltd,2026-05-07
The Israel Internet Association (RA),2026-05-07
Helium TLDs Ltd,2026-05-07
Not assigned,2026-05-07
Posts and Telecommunications Division,2026-05-07
China Organizational Name Administration Center,2026-05-07
China Internet Network Information Center (CNNIC),2026-05-07
Shangri-La International Hotel Management Limited,2026-05-07
Global Website TLD Asia Limited,2026-05-07
Identity Digital Limited,2026-05-07
Tycoon Treasure Limited,2026-05-07
Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2026-05-07
Not assigned,2026-05-07
Association of IT Companies of Kazakhstan,2026-05-07
Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication),2026-05-07
CORE Association,2026-05-07
CORE Association,2026-05-07
China United Network Communications Corporation Limited,2026-05-07
Serbian National Internet Domain Registry (RNIDS),2026-05-07
Imena.BG AD,2026-05-07
Belarusian Cloud Technologies LLC,2026-05-07
VeriSign Sarl,2026-05-07
RISE VICTORY LIMITED,2026-05-07
Sina Corporation,2026-05-07
Not assigned,2026-05-07
Temasek Holdings (Private) Limited,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
Public Interest Registry,2026-05-07
VeriSign Sarl,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
"SAMSUNG SDS CO., LTD",2026-05-07
Singapore Network Information Centre (SGNIC) Pte Ltd,2026-05-07
Internet DotTrademark Organisation Limited,2026-05-07
"Binky Moon, LLC",2026-05-07
Zodiac Aquarius Limited,2026-05-07
The Foundation for Network Initiatives “The Smart Internet”,2026-05-07
Macedonian Academic Research Network Skopje,2026-05-07
Not assigned,2026-05-07
EURid vzw,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
"Guangzhou YU Wei Information and Technology Co.,Ltd",2026-05-07
Not assigned,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
VeriSign Sarl,2026-05-07
Beijing TLD Registry Technology Limited,2026-05-07
CITIC Group Corporation,2026-05-07
China Internet Network Information Center (CNNIC),2026-05-07
China Internet Network Information Center (CNNIC),2026-05-07
"Binky Moon, LLC",2026-05-07
Charleston Road Registry Inc.,2026-05-07
National Internet Exchange of India,2026-05-07
LK Domain Registry,2026-05-07
PCCW Enterprises Limited,2026-05-07
"Nawang Heli(Xiamen) Network Service Co., LTD.",2026-05-07
Not assigned,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
National Internet Exchange of India,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
National Internet eXchange of India,2026-05-07
National Internet Exchange of India,2026-05-07
National Internet eXchange of India,2026-05-07
Not assigned,2026-05-07
Not assigned,2026-05-07
Zodiac Taurus Ltd.,2026-05-07
Public Interest Registry,2026-05-07
Internet DotTrademark Organisation Limited,2026-05-07
China Internet Network Information Center (CNNIC),2026-05-07
VeriSign Sarl,2026-05-07
"Ukrainian Network Information Centre (UANIC), Inc.",2026-05-07
Hong Kong Internet Registration Corporation Ltd.,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
Not assigned,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
Not assigned,2026-05-07
Koninklijke Philips N.V.,2026-05-07
Not assigned,2026-05-07
Taiwan Network Information Center (TWNIC),2026-05-07
Taiwan Network Information Center (TWNIC),2026-05-07
Not assigned,2026-05-07
"Beijing RITT-Net Technology Development Co., Ltd",2026-05-07
"Datacom Co.,Ltd",2026-05-07
CERIST,2026-05-07
Telecommunications Regulatory Authority (TRA),2026-05-07
Aramco Services Company,2026-05-07
Institute for Research in Fundamental Sciences (IPM),2026-05-07
Competrol (Luxembourg) Sarl,2026-05-07
Not assigned,2026-05-07
Telecommunications and Digital Government Regulatory Authority (TDRA),2026-05-07
CORE Association,2026-05-07
Université de Nouakchott Al Aasriya,2026-05-07
National Telecommunication Corporation,2026-05-07
Ministry of Digital Economy and Entrepreneurship (MoDEE),2026-05-07
Not assigned,2026-05-07
National Internet eXchange of India,2026-05-07
National Internet Exchange of India,2026-05-07
Agence Nationale de Réglementation des Télécommunications (ANRT),2026-05-07
Abu Dhabi Systems and Information Centre,2026-05-07
Telecommunications Regulatory Authority (TRA),2026-05-07
"Communications, Space and Technology Commission",2026-05-07
National Internet eXchange of India,2026-05-07
Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication),2026-05-07
Sudan Internet Society,2026-05-07
Emergency Back-End Registry Operator Program - ICANN,2026-05-07
Communications and Media Commission (CMC),2026-05-07
MYNIC Berhad,2026-05-07
Macao Post and Telecommunications Bureau (CTT),2026-05-07
VeriSign Sarl,2026-05-07
"Net-Chinese Co., Ltd.",2026-05-07
International Domain Registry Pty. Ltd.,2026-05-07
Kuwait Finance House,2026-05-07
League of Arab States,2026-05-07
Information Technologies Development Center (ITDC),2026-05-07
Public Interest Registry,2026-05-07
Public Interest Registry,2026-05-07
Stable Tone Limited,2026-05-07
Thai Network Information Center Foundation,2026-05-07
National Authority for Information Technology Services (NAITS),2026-05-07
Jiang Yu Liang Cai Technology Company Limited,2026-05-07
Rusnames Limited,2026-05-07
Coordination Center for TLD RU,2026-05-07
Not assigned,2026-05-07
Agence Tunisienne d'Internet,2026-05-07
VeriSign Sarl,2026-05-07
"Lao National Internet Center (LANIC), Ministry of Technology and Communications",2026-05-07
Charleston Road Registry Inc.,2026-05-07
Charleston Road Registry Inc.,2026-05-07
EURid vzw,2026-05-07
ICS-FORTH GR,2026-05-07
Stable Tone Limited,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
National Internet eXchange of India,2026-05-07
National Internet Exchange of India,2026-05-07
"KNET Co., Ltd",2026-05-07
VeriSign Sarl,2026-05-07
VeriSign Sarl,2026-05-07
Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication),2026-05-07
"Binky Moon, LLC",2026-05-07
Deutsche Vermögensberatung Aktiengesellschaft DVAG,2026-05-07
Deutsche Vermögensberatung Aktiengesellschaft DVAG,2026-05-07
"Binky Moon, LLC",2026-05-07
"Beijing Tele-info Technology Co., Ltd.",2026-05-07
Kerry Trading Co. Limited,2026-05-07
Kerry Trading Co. Limited,2026-05-07
National Telecommunication Regulatory Authority - NTRA,2026-05-07
Communications Regulatory Authority,2026-05-07
"Guangzhou YU Wei Information Technology Co., Ltd.",2026-05-07
LK Domain Registry,2026-05-07
National Internet Exchange of India,2026-05-07
"""Internet Society"" Non-governmental Organization",2026-05-07
Singapore Network Information Centre (SGNIC) Pte Ltd,2026-05-07
Ministry of Telecom & Information Technology (MTIT),2026-05-07
Not assigned,2026-05-07
China Organizational Name Administration Center,2026-05-07
Not assigned,2026-05-07
ICM Registry LLC,2026-05-07
XYZ.COM LLC,2026-05-07
XYZ.COM LLC,2026-05-07
Yahoo Inc.,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
YANDEX LLC,2026-05-07
TeleYemen,2026-05-07
"YODOBASHI CAMERA CO.,LTD.",2026-05-07
"Registry Services, LLC",2026-05-07
"GMO Registry, Inc.",2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
Charleston Road Registry Inc.,2026-05-07
Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.),2026-05-07
"Beijing Qihu Keji Co., Ltd.",2026-05-07
ZA Domain Name Authority,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
"Industria de Diseño Textil, S.A. (INDITEX, S.A.)",2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
Charleston Road Registry Inc.,2026-05-07
Not assigned,2026-05-07
Zambia Information and Communications Technology Authority (ZICTA),2026-05-07
"Binky Moon, LLC",2026-05-07
Kanton Zürich (Canton of Zurich),2026-05-07
Postal and Telecommunications Regulatory Authority of Zimbabwe (POTRAZ),2026-05-07
