Domain,date
"Binky Moon, LLC",2026-05-07
"Registry Services, LLC",2026-05-07
American Institute of Certified Public Accountants,2026-05-07
National Academy of Sciences (Academia Nacional de Ciencias),2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"DotCooperation, LLC",2026-05-07
dot Cricket Limited,2026-05-07
Crown Equipment Corporation,2026-05-07
Federated Co-operatives Limited,2026-05-07
Viking River Cruises (Bermuda) Ltd.,2026-05-07
"Binky Moon, LLC",2026-05-07
Not assigned,2026-05-07
CENIAInternet,2026-05-07
SCHMIDT GROUPE S.A.S.,2026-05-07
Agência Reguladora Multissectorial da Economia (ARME),2026-05-07
University of Curacao,2026-05-07
Christmas Island Domain Administration Limited,2026-05-07
University of Cyprus,2026-05-07
Nominet UK,2026-05-07
Shortdot SA,2026-05-07
"CZ.NIC, z.s.p.o",2026-05-07
Not assigned,2026-05-07
Charleston Road Registry Inc.,2026-05-07
"Dog Beach, LLC",2026-05-07
Dish DBS Corporation,2026-05-07
dot Date Limited,2026-05-07
"Binky Moon, LLC",2026-05-07
"NISSAN MOTOR CO., LTD.",2026-05-07
Charleston Road Registry Inc.,2026-05-07
Charleston Road Registry Inc.,2026-05-07
"Registry Services, LLC",2026-05-07
DENIC eG,2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
Intercap Registry Inc.,2026-05-07
"Binky Moon, LLC",2026-05-07
"Dog Beach, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
Dell Inc.,2026-05-07
Deloitte Touche Tohmatsu,2026-05-07
"Delta Air Lines, Inc.",2026-05-07
"Dog Beach, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Dog Beach, LLC",2026-05-07
Emergency Back-End Registry Operator Program - ICANN,2026-05-07
"Registry Services, LLC",2026-05-07
Charleston Road Registry Inc.,2026-05-07
Deutsche Post AG,2026-05-07
"Binky Moon, LLC",2026-05-07
XYZ.COM LLC,2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
Discover Financial Services,2026-05-07
Dish DBS Corporation,2026-05-07
Internet Naming Co.,2026-05-07
Djibouti Telecom S.A,2026-05-07
Dansk Internet Forum,2026-05-07
DotDM Corporation,2026-05-07
"Dai Nippon Printing Co., Ltd.",2026-05-07
"Pontificia Universidad Catolica Madre y Maestra, Recinto Santo Tomas de Aquino",2026-05-07
Charleston Road Registry Inc.,2026-05-07
"Binky Moon, LLC",2026-05-07
Not assigned,2026-05-07
"Binky Moon, LLC",2026-05-07
Not assigned,2026-05-07
"Binky Moon, LLC",2026-05-07
Not assigned,2026-05-07
Dish DBS Corporation,2026-05-07
dot Support Limited,2026-05-07
Charleston Road Registry Inc.,2026-05-07
Dish DBS Corporation,2026-05-07
Dubai Smart Government Department,2026-05-07
Not assigned,2026-05-07
Not assigned,2026-05-07
Not assigned,2026-05-07
"DuPont Specialty Products USA, LLC",2026-05-07
ZA Central Registry NPC trading as ZA Central Registry,2026-05-07
Deutsche Vermögensberatung Aktiengesellschaft DVAG,2026-05-07
DISH Technologies L.L.C.,2026-05-07
CERIST,2026-05-07
Interlink Systems Innovation Institute K.K.,2026-05-07
Charleston Road Registry Inc.,2026-05-07
ECUADORDOMAIN S.A.,2026-05-07
Big Room Inc.,2026-05-07
EDEKA Verband kaufmännischer Genossenschaften e.V.,2026-05-07
EDUCAUSE,2026-05-07
"Binky Moon, LLC",2026-05-07
Eesti Interneti Sihtasutus (EIS),2026-05-07
"Egyptian Universities Network (EUN), Supreme Council of Universities",2026-05-07
Not assigned,2026-05-07
"Binky Moon, LLC",2026-05-07
Merck KGaA,2026-05-07
Not assigned,2026-05-07
"Binky Moon, LLC",2026-05-07
"Dog Beach, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
Not assigned,2026-05-07
Seiko Epson Corporation,2026-05-07
"Binky Moon, LLC",2026-05-07
Eritrea Telecommunication Services Corporation (EriTel),2026-05-07
Telefonaktiebolaget L M Ericsson,2026-05-07
ERNI Group Holding AG,2026-05-07
Red.es,2026-05-07
Charleston Road Registry Inc.,2026-05-07
"Binky Moon, LLC",2026-05-07
Not assigned,2026-05-07
Ethio telecom,2026-05-07
Not assigned,2026-05-07
EURid vzw,2026-05-07
European Broadcasting Union (EBU),2026-05-07
Puntueus Fundazioa,2026-05-07
"Binky Moon, LLC",2026-05-07
Not assigned,2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
Extra Space Storage LLC,2026-05-07
Fage International S.A.,2026-05-07
"Binky Moon, LLC",2026-05-07
"FairWinds Partners, LLC",2026-05-07
dot Faith Limited,2026-05-07
"Dog Beach, LLC",2026-05-07
"Dog Beach, LLC",2026-05-07
ZDNS International Limited,2026-05-07
"Binky Moon, LLC",2026-05-07
Farmers Insurance Exchange,2026-05-07
"Registry Services, LLC",2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
Federal Express Corporation,2026-05-07
"Top Level Spectrum, Inc.",2026-05-07
Fiat Chrysler Automobiles N.V.,2026-05-07
Ferrero Trading Lux S.A.,2026-05-07
Finnish Transport and Communications Agency Traficom,2026-05-07
Not assigned,2026-05-07
Fidelity Brokerage Services LLC,2026-05-07
Rogers Communications Canada Inc.,2026-05-07
Motion Picture Domain Registry Pty Ltd,2026-05-07
Núcleo de Informação e Coordenação do Ponto BR - NIC.br,2026-05-07
"Binky Moon, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
"Bridgestone Licensing Services, Inc.",2026-05-07
Firmdale Holdings Limited,2026-05-07
"Binky Moon, LLC",2026-05-07
"Registry Services, LLC",2026-05-07
"Registry Services, LLC",2026-05-07
"Binky Moon, LLC",2026-05-07
"The University of the South Pacific
IT Services",2026-05-07
Falkland Islands Government,2026-05-07
"Flickr, Inc.",2026-05-07
"Binky Moon, LLC",2026-05-07
"FLIR Systems, Inc.",2026-05-07
"Binky Moon, LLC",2026-05-07
XYZ.COM LLC,2026-05-07
Not assigned,2026-05-07
Charleston Road Registry Inc.,2026-05-07
FSM Telecommunications Corporation,2026-05-07
FO Council,2026-05-07
Charleston Road Registry Inc.,2026-05-07
Internet Naming Co.,2026-05-07
Not assigned,2026-05-07
"Binky Moon, LLC",2026-05-07
Ford Motor Company,2026-05-07
"Dog Beach, LLC",2026-05-07
"Dog Beach, LLC",2026-05-07
"Fegistry, LLC",2026-05-07
Public Interest Registry (PIR),2026-05-07
"FOX Registry, LLC",2026-05-07
Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.),2026-05-07
"Amazon Registry Services, Inc.",2026-05-07
Fresenius Immobilien-Verwaltungs-GmbH,2026-05-07
FRLregistry B.V.,2026-05-07
OP3FT,2026-05-07
Not assigned,2026-05-07
Frontier Communications Corporation,2026-05-07
